"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/01/2026 01:00,21.5,5.6,14.8,0.998
01/01/2026 02:00,22.3,4.7,14.9,0.998
01/01/2026 03:00,21.6,5.6,14.2,0.998
01/01/2026 04:00,17.5,7.1,13.8,0.998
01/01/2026 05:00,20.6,6.2,12.9,0.998
01/01/2026 06:00,15.2,6.7,12.6,0.999
01/01/2026 07:00,15.3,5.8,13.9,0.999
01/01/2026 08:00,13.3,4.9,16.9,1.000
01/01/2026 09:00,9.2,6.2,21.4,1.000
01/01/2026 10:00,6.7,7.1,24.1,0.999
01/01/2026 11:00,1.4,6.8,26.8,0.999
01/01/2026 12:00,-1.2,4.2,29.6,0.999
01/01/2026 13:00,0.8,1.9,30.7,0.998
01/01/2026 14:00,5.3,1.3,29.1,0.998
01/01/2026 15:00,9.9,1.8,27.9,0.998
01/01/2026 16:00,13.0,2.4,27.5,0.997
01/01/2026 17:00,16.0,2.4,27.2,0.997
01/01/2026 18:00,19.2,3.9,25.7,0.996
01/01/2026 19:00,21.5,4.7,24.5,0.997
01/01/2026 20:00,22.1,5.7,22.1,0.998
01/01/2026 21:00,20.1,7.9,20.0,0.998
01/01/2026 22:00,18.7,7.1,19.3,0.998
01/01/2026 23:00,13.0,4.5,19.1,0.998
02/01/2026 00:00,10.8,5.5,19.9,0.997
02/01/2026 01:00,,10.2,,
02/01/2026 02:00,,9.6,,
02/01/2026 03:00,,5.7,,
02/01/2026 04:00,,6.6,,
02/01/2026 05:00,,5.1,,
02/01/2026 06:00,,8.7,,
02/01/2026 07:00,,6.8,,
02/01/2026 08:00,,9.0,,
02/01/2026 09:00,,,28.0,0.998
02/01/2026 10:00,,,29.5,0.997
02/01/2026 11:00,13.3,7.1,28.6,0.997
02/01/2026 12:00,19.3,5.7,29.5,0.997
02/01/2026 13:00,15.0,8.6,30.7,0.996
02/01/2026 14:00,19.4,8.0,29.3,0.995
02/01/2026 15:00,19.6,6.7,28.9,0.995
02/01/2026 16:00,19.8,4.5,28.8,0.994
02/01/2026 17:00,14.4,14.2,29.5,0.994
02/01/2026 18:00,17.1,13.2,28.1,0.994
02/01/2026 19:00,23.6,9.5,27.5,0.994
02/01/2026 20:00,26.3,8.1,25.9,0.994
02/01/2026 21:00,24.9,7.8,24.2,0.995
02/01/2026 22:00,22.3,7.1,23.2,0.995
02/01/2026 23:00,21.3,6.9,22.3,0.994
03/01/2026 00:00,13.8,5.2,21.8,0.994
03/01/2026 01:00,15.0,5.5,21.7,0.994
03/01/2026 02:00,16.2,6.4,21.1,0.994
03/01/2026 03:00,12.8,4.9,20.3,0.994
03/01/2026 04:00,9.8,6.3,19.7,0.994
03/01/2026 05:00,13.3,5.0,19.4,0.994
03/01/2026 06:00,14.7,5.2,19.0,0.995
03/01/2026 07:00,9.5,4.5,18.7,0.995
03/01/2026 08:00,9.0,5.1,21.2,0.995
03/01/2026 09:00,13.6,-1.4,23.6,0.996
03/01/2026 10:00,15.6,1.7,24.9,0.996
03/01/2026 11:00,5.4,7.8,28.7,0.996
03/01/2026 12:00,10.0,8.6,28.8,0.995
03/01/2026 13:00,12.9,8.8,31.0,0.994
03/01/2026 14:00,19.7,7.5,29.1,0.994
03/01/2026 15:00,25.1,6.8,28.5,0.994
03/01/2026 16:00,24.9,7.9,27.1,0.994
03/01/2026 17:00,23.8,10.7,25.8,0.994
03/01/2026 18:00,20.9,8.0,24.6,0.994
03/01/2026 19:00,,6.0,,
03/01/2026 20:00,18.2,5.8,20.9,0.995
03/01/2026 21:00,19.5,7.4,18.4,0.996
03/01/2026 22:00,19.1,6.8,17.1,0.996
03/01/2026 23:00,15.5,5.6,16.4,0.996
04/01/2026 00:00,13.5,5.3,15.8,0.997
04/01/2026 01:00,12.2,2.6,15.6,0.996
04/01/2026 02:00,14.5,6.5,15.5,0.996
04/01/2026 03:00,14.1,6.3,15.3,0.996
04/01/2026 04:00,11.7,5.4,15.1,0.996
04/01/2026 05:00,16.2,6.2,15.2,0.996
04/01/2026 06:00,15.5,7.1,15.1,0.996
04/01/2026 07:00,16.1,6.2,15.7,0.997
04/01/2026 08:00,12.6,7.0,18.5,0.998
04/01/2026 09:00,8.4,,22.7,0.998
04/01/2026 10:00,8.4,,25.4,0.998
04/01/2026 11:00,6.5,9.9,29.3,0.997
04/01/2026 12:00,2.9,7.9,30.6,0.996
04/01/2026 13:00,13.5,3.5,26.4,0.997
04/01/2026 14:00,21.3,2.1,25.6,0.996
04/01/2026 15:00,21.4,6.3,26.6,0.995
04/01/2026 16:00,22.1,5.4,25.4,0.995
04/01/2026 17:00,19.1,6.0,24.6,0.995
04/01/2026 18:00,16.5,6.1,24.2,0.996
04/01/2026 19:00,14.8,6.2,22.0,0.996
04/01/2026 20:00,15.0,6.8,19.6,0.997
04/01/2026 21:00,17.5,5.0,17.5,0.997
04/01/2026 22:00,14.9,6.9,17.2,0.998
04/01/2026 23:00,11.3,6.3,17.0,0.998
05/01/2026 00:00,12.8,3.6,16.5,0.998
05/01/2026 01:00,14.3,5.0,16.9,0.997
05/01/2026 02:00,16.9,6.8,16.8,0.997
05/01/2026 03:00,13.1,5.3,16.4,0.997
05/01/2026 04:00,13.3,5.7,15.6,0.997
05/01/2026 05:00,15.8,6.3,16.0,0.997
05/01/2026 06:00,17.6,5.6,16.0,0.998
05/01/2026 07:00,16.6,6.1,16.9,0.998
05/01/2026 08:00,16.7,8.7,20.0,0.999
05/01/2026 09:00,14.8,10.7,23.8,0.999
05/01/2026 10:00,10.8,10.6,27.7,0.999
05/01/2026 11:00,3.0,3.3,32.8,0.998
05/01/2026 12:00,0.8,1.0,31.8,0.998
05/01/2026 13:00,11.0,2.2,29.2,0.998
05/01/2026 14:00,17.0,3.4,27.7,0.998
05/01/2026 15:00,17.5,4.6,27.3,0.997
05/01/2026 16:00,19.2,6.9,27.8,0.996
05/01/2026 17:00,18.1,10.8,29.8,0.996
05/01/2026 18:00,11.1,10.1,29.7,0.996
05/01/2026 19:00,13.1,4.0,27.8,0.997
05/01/2026 20:00,12.7,0.2,25.7,0.997
05/01/2026 21:00,11.1,0.6,23.9,0.998
05/01/2026 22:00,9.9,1.0,23.2,0.998
05/01/2026 23:00,5.7,2.1,22.5,0.997
06/01/2026 00:00,2.8,0.2,22.4,0.997
06/01/2026 01:00,2.9,-3.2,22.5,0.997
06/01/2026 02:00,3.7,-1.3,22.5,0.997
06/01/2026 03:00,4.3,1.0,22.3,0.996
06/01/2026 04:00,8.2,4.3,20.2,0.997
06/01/2026 05:00,12.0,2.8,18.9,0.997
06/01/2026 06:00,13.4,5.8,18.7,0.997
06/01/2026 07:00,14.8,5.2,20.3,0.998
06/01/2026 08:00,16.1,10.2,24.4,0.998
06/01/2026 09:00,,,31.1,0.998
06/01/2026 10:00,,,34.7,0.998
06/01/2026 11:00,8.2,10.2,37.9,0.997
06/01/2026 12:00,14.6,5.6,40.1,0.997
06/01/2026 13:00,22.4,4.2,38.0,0.997
06/01/2026 14:00,25.1,1.2,36.2,0.996
06/01/2026 15:00,15.9,0.8,35.6,0.996
06/01/2026 16:00,11.6,5.0,36.6,0.995
06/01/2026 17:00,8.9,5.5,36.5,0.995
06/01/2026 18:00,,5.2,,
06/01/2026 19:00,16.3,2.8,34.1,0.995
06/01/2026 20:00,18.0,2.7,32.4,0.995
06/01/2026 21:00,22.0,1.4,30.2,0.995
06/01/2026 22:00,19.0,2.8,29.1,0.996
06/01/2026 23:00,18.4,2.8,28.5,0.996
07/01/2026 00:00,14.9,3.1,28.1,0.995
07/01/2026 01:00,15.9,8.6,27.6,0.995
07/01/2026 02:00,,8.5,,
07/01/2026 03:00,,9.2,,
07/01/2026 04:00,,8.5,,
07/01/2026 05:00,,4.7,,
07/01/2026 06:00,,2.8,,
07/01/2026 07:00,15.3,3.7,27.8,0.994
07/01/2026 08:00,18.6,5.0,32.5,0.995
07/01/2026 09:00,11.1,7.4,37.8,0.995
07/01/2026 10:00,23.2,14.5,41.3,0.995
07/01/2026 11:00,40.2,16.2,43.8,0.994
07/01/2026 12:00,38.9,11.1,44.6,0.994
07/01/2026 13:00,25.9,2.4,44.9,0.994
07/01/2026 14:00,12.3,,42.4,0.993
07/01/2026 15:00,16.1,,41.6,0.993
07/01/2026 16:00,14.6,7.3,39.9,0.992
07/01/2026 17:00,15.0,4.1,37.6,0.992
07/01/2026 18:00,19.2,4.5,36.8,0.993
07/01/2026 19:00,15.6,7.2,36.8,0.993
07/01/2026 20:00,19.4,4.4,34.8,0.993
07/01/2026 21:00,20.4,2.7,32.7,0.993
07/01/2026 22:00,22.4,3.4,31.7,0.993
07/01/2026 23:00,20.4,3.7,31.3,0.993
08/01/2026 00:00,13.5,1.2,31.4,0.993
08/01/2026 01:00,8.7,6.7,31.2,0.993
08/01/2026 02:00,11.1,5.8,30.5,0.993
08/01/2026 03:00,13.3,2.0,30.2,0.992
08/01/2026 04:00,13.8,1.9,30.6,0.992
08/01/2026 05:00,11.4,3.2,30.3,0.991
08/01/2026 06:00,13.4,1.5,30.4,0.992
08/01/2026 07:00,13.4,5.0,30.3,0.993
08/01/2026 08:00,19.0,7.3,31.0,0.993
08/01/2026 09:00,21.0,5.6,34.3,0.993
08/01/2026 10:00,11.2,14.1,40.2,0.992
08/01/2026 11:00,18.5,14.8,42.4,0.992
08/01/2026 12:00,27.4,4.6,42.8,0.992
08/01/2026 13:00,24.6,11.3,42.9,0.992
08/01/2026 14:00,22.8,7.2,41.6,0.991
08/01/2026 15:00,24.9,3.1,40.9,0.990
08/01/2026 16:00,23.6,6.0,41.1,0.989
08/01/2026 17:00,26.4,5.4,41.6,0.988
08/01/2026 18:00,31.3,7.9,38.9,0.988
08/01/2026 19:00,35.5,-0.2,33.3,0.988
08/01/2026 20:00,33.5,4.3,33.7,0.988
08/01/2026 21:00,31.0,10.7,33.0,0.988
08/01/2026 22:00,30.8,10.9,31.5,0.988
08/01/2026 23:00,31.6,12.3,30.9,0.988
09/01/2026 00:00,34.0,11.4,28.2,0.988
09/01/2026 01:00,36.9,15.2,25.8,0.988
09/01/2026 02:00,41.6,16.3,24.4,0.987
09/01/2026 03:00,39.4,15.6,24.8,0.985
09/01/2026 04:00,36.0,13.6,24.4,0.986
09/01/2026 05:00,39.8,14.0,23.3,0.986
09/01/2026 06:00,40.4,13.9,23.4,0.986
09/01/2026 07:00,39.9,15.8,24.6,0.987
09/01/2026 08:00,39.7,16.7,26.7,0.988
09/01/2026 09:00,34.1,16.3,31.0,0.989
09/01/2026 10:00,28.4,18.2,32.8,0.990
09/01/2026 11:00,31.6,10.8,30.0,0.990
09/01/2026 12:00,34.5,8.3,31.0,0.990
09/01/2026 13:00,,17.0,,
09/01/2026 14:00,23.7,14.9,31.1,0.990
09/01/2026 15:00,26.5,3.7,28.2,0.990
09/01/2026 16:00,20.7,4.2,27.6,0.990
09/01/2026 17:00,21.3,1.7,25.0,0.990
09/01/2026 18:00,30.1,6.6,23.1,0.990
09/01/2026 19:00,26.0,11.0,22.2,0.991
09/01/2026 20:00,27.7,11.5,20.9,0.992
