"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/10/2024 01:00,11.5,7.2,11.3,1.008
01/10/2024 02:00,12.3,6.6,11.0,1.008
01/10/2024 03:00,12.7,6.4,11.3,1.008
01/10/2024 04:00,13.5,3.9,11.5,1.008
01/10/2024 05:00,14.5,3.3,11.1,1.008
01/10/2024 06:00,16.5,6.9,11.2,1.009
01/10/2024 07:00,20.8,8.0,11.1,1.009
01/10/2024 08:00,23.5,6.1,11.8,1.010
01/10/2024 09:00,22.8,6.6,14.9,1.010
01/10/2024 10:00,20.1,6.5,17.3,1.010
01/10/2024 11:00,17.7,8.1,18.1,1.010
01/10/2024 12:00,14.9,5.5,18.9,1.010
01/10/2024 13:00,14.0,5.1,18.6,1.009
01/10/2024 14:00,12.7,5.3,18.2,1.008
01/10/2024 15:00,10.2,6.8,18.9,1.008
01/10/2024 16:00,9.7,2.4,19.0,1.007
01/10/2024 17:00,11.2,6.7,18.5,1.007
01/10/2024 18:00,12.5,6.1,17.5,1.007
01/10/2024 19:00,12.5,6.2,16.2,1.008
01/10/2024 20:00,14.2,7.1,14.8,1.008
01/10/2024 21:00,11.5,5.6,14.0,1.009
01/10/2024 22:00,10.3,5.6,13.8,1.009
01/10/2024 23:00,9.4,4.3,13.6,1.010
02/10/2024 00:00,6.0,2.8,13.4,1.009
02/10/2024 01:00,4.8,3.0,13.2,1.009
02/10/2024 02:00,4.7,1.3,12.6,1.009
02/10/2024 03:00,8.6,3.2,12.3,1.009
02/10/2024 04:00,6.1,4.5,12.4,1.008
02/10/2024 05:00,8.7,3.5,12.2,1.009
02/10/2024 06:00,8.6,4.5,12.4,1.009
02/10/2024 07:00,14.3,3.5,13.4,1.009
02/10/2024 08:00,12.9,3.0,15.2,1.009
02/10/2024 09:00,13.8,6.3,18.7,1.009
02/10/2024 10:00,15.6,10.2,22.2,1.009
02/10/2024 11:00,14.5,4.7,24.6,1.008
02/10/2024 12:00,13.8,4.3,24.8,1.007
02/10/2024 13:00,16.0,5.1,25.0,1.006
02/10/2024 14:00,13.4,4.5,24.3,1.006
02/10/2024 15:00,15.8,4.2,24.7,1.005
02/10/2024 16:00,20.7,5.0,24.3,1.004
02/10/2024 17:00,27.5,-1.6,24.0,1.004
02/10/2024 18:00,14.9,-2.0,23.0,1.004
02/10/2024 19:00,12.4,4.8,21.2,1.004
02/10/2024 20:00,12.6,5.3,19.9,1.004
02/10/2024 21:00,13.7,10.2,19.0,1.005
02/10/2024 22:00,14.1,5.4,18.9,1.005
02/10/2024 23:00,10.8,3.2,19.2,1.005
03/10/2024 00:00,7.4,0.9,19.2,1.004
03/10/2024 01:00,12.6,5.1,19.2,1.003
03/10/2024 02:00,8.9,4.7,18.8,1.003
03/10/2024 03:00,9.5,3.0,18.1,1.002
03/10/2024 04:00,5.6,3.3,17.8,1.002
03/10/2024 05:00,7.9,4.8,17.5,1.001
03/10/2024 06:00,10.5,4.3,17.3,1.001
03/10/2024 07:00,9.9,5.0,17.3,1.001
03/10/2024 08:00,8.0,0.4,18.5,1.001
03/10/2024 09:00,12.4,-0.5,21.9,1.000
03/10/2024 10:00,19.2,-0.7,25.6,1.000
03/10/2024 11:00,21.3,2.7,26.7,0.999
03/10/2024 12:00,26.5,2.4,26.9,0.997
03/10/2024 13:00,25.5,3.3,28.6,0.996
03/10/2024 14:00,26.0,4.4,28.6,0.995
03/10/2024 15:00,22.7,6.8,26.6,0.994
03/10/2024 16:00,16.9,3.2,26.9,0.992
03/10/2024 17:00,23.1,3.5,26.5,0.992
03/10/2024 18:00,24.7,4.7,22.8,0.993
03/10/2024 19:00,26.9,9.1,19.0,0.994
03/10/2024 20:00,23.5,5.5,17.8,0.994
03/10/2024 21:00,16.4,3.5,17.1,0.993
03/10/2024 22:00,9.9,5.3,18.6,0.991
03/10/2024 23:00,9.2,5.6,18.1,0.992
04/10/2024 00:00,8.0,1.8,17.5,0.992
04/10/2024 01:00,11.6,3.1,17.1,0.992
04/10/2024 02:00,9.9,3.5,17.1,0.992
04/10/2024 03:00,9.6,5.4,16.1,0.992
04/10/2024 04:00,7.6,3.7,15.1,0.992
04/10/2024 05:00,8.5,3.1,14.1,0.992
04/10/2024 06:00,9.6,1.7,13.6,0.992
04/10/2024 07:00,10.9,4.2,13.5,0.993
04/10/2024 08:00,11.5,4.3,14.8,0.994
04/10/2024 09:00,15.4,8.1,17.7,0.994
04/10/2024 10:00,18.5,5.8,19.7,0.994
04/10/2024 11:00,18.2,6.6,19.9,0.993
04/10/2024 12:00,19.0,6.0,19.3,0.993
04/10/2024 13:00,22.9,9.3,20.0,0.993
04/10/2024 14:00,28.6,8.8,19.2,0.992
04/10/2024 15:00,27.4,8.6,19.4,0.992
04/10/2024 16:00,27.0,10.3,19.8,0.992
04/10/2024 17:00,29.7,14.4,18.6,0.992
04/10/2024 18:00,30.1,13.8,17.9,0.993
04/10/2024 19:00,27.3,11.5,16.6,0.993
04/10/2024 20:00,28.8,10.1,16.0,0.994
04/10/2024 21:00,26.5,10.0,15.3,0.994
04/10/2024 22:00,21.8,7.4,14.7,0.994
04/10/2024 23:00,18.5,5.8,14.3,0.994
05/10/2024 00:00,21.3,5.5,14.0,0.994
05/10/2024 01:00,21.7,8.6,13.9,0.994
05/10/2024 02:00,20.5,10.4,13.8,0.993
05/10/2024 03:00,21.9,4.9,13.7,0.993
05/10/2024 04:00,22.9,5.6,13.7,0.992
05/10/2024 05:00,23.8,4.9,13.6,0.992
05/10/2024 06:00,19.7,5.8,13.6,0.992
05/10/2024 07:00,21.1,6.2,14.2,0.992
05/10/2024 08:00,21.6,5.4,14.8,0.992
05/10/2024 09:00,23.2,6.2,14.7,0.992
05/10/2024 10:00,22.3,7.5,13.0,0.993
05/10/2024 11:00,10.9,3.9,15.4,0.993
05/10/2024 12:00,11.3,3.6,18.5,0.992
05/10/2024 13:00,24.3,4.8,16.6,0.992
05/10/2024 14:00,23.0,6.5,18.3,0.992
05/10/2024 15:00,18.4,4.9,18.2,0.992
05/10/2024 16:00,22.7,7.6,16.8,0.993
05/10/2024 17:00,23.9,4.4,16.4,0.993
05/10/2024 18:00,20.3,5.7,16.8,0.993
05/10/2024 19:00,18.7,6.8,16.2,0.994
05/10/2024 20:00,25.1,5.2,15.5,0.995
05/10/2024 21:00,24.5,6.2,14.8,0.995
05/10/2024 22:00,21.2,6.9,14.4,0.996
05/10/2024 23:00,18.6,4.6,14.7,0.996
06/10/2024 00:00,18.3,5.9,14.7,0.996
06/10/2024 01:00,14.0,11.5,14.6,0.996
06/10/2024 02:00,10.9,9.8,13.4,0.996
06/10/2024 03:00,12.3,3.8,13.9,0.996
06/10/2024 04:00,14.5,5.6,14.2,0.995
06/10/2024 05:00,17.2,4.1,14.1,0.996
06/10/2024 06:00,15.8,5.5,14.2,0.996
06/10/2024 07:00,20.5,5.2,14.4,0.998
06/10/2024 08:00,23.8,7.0,14.8,0.998
06/10/2024 09:00,22.2,6.0,15.8,0.999
06/10/2024 10:00,25.9,5.0,16.7,0.999
06/10/2024 11:00,20.1,6.2,17.3,0.999
06/10/2024 12:00,19.0,6.6,18.5,0.999
06/10/2024 13:00,13.0,2.3,19.5,0.999
06/10/2024 14:00,12.7,2.7,19.7,0.999
06/10/2024 15:00,8.9,1.5,19.7,0.999
06/10/2024 16:00,8.7,2.6,19.8,0.999
