"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/05/2025 01:00,,,12.0,1.015
01/05/2025 02:00,38.3,13.6,11.5,1.015
01/05/2025 03:00,16.8,6.5,11.2,1.016
01/05/2025 04:00,7.6,3.1,10.2,1.016
01/05/2025 05:00,11.8,6.8,9.8,1.016
01/05/2025 06:00,18.0,4.5,9.4,1.016
01/05/2025 07:00,14.6,3.6,9.1,1.016
01/05/2025 08:00,9.2,4.0,9.8,1.016
01/05/2025 09:00,12.1,8.6,11.2,1.017
01/05/2025 10:00,11.9,9.2,12.6,1.017
01/05/2025 11:00,6.9,7.2,17.2,1.017
01/05/2025 12:00,2.5,7.1,19.1,1.016
01/05/2025 13:00,0.8,4.8,19.7,1.015
01/05/2025 14:00,22.6,6.0,19.7,1.015
01/05/2025 15:00,23.9,3.5,20.5,1.014
01/05/2025 16:00,4.1,4.0,20.2,1.014
01/05/2025 17:00,4.3,3.6,18.9,1.014
01/05/2025 18:00,4.7,4.1,17.2,1.014
01/05/2025 19:00,9.9,3.1,16.1,1.014
01/05/2025 20:00,19.7,6.3,14.4,1.015
01/05/2025 21:00,20.9,7.1,13.5,1.015
01/05/2025 22:00,16.9,4.2,13.1,1.015
01/05/2025 23:00,11.8,4.4,12.9,1.015
02/05/2025 00:00,28.1,1.2,12.8,1.015
02/05/2025 01:00,24.1,2.6,12.4,1.015
02/05/2025 02:00,6.9,1.9,12.4,1.015
02/05/2025 03:00,28.7,1.9,13.1,1.015
02/05/2025 04:00,5.9,3.6,12.7,1.014
02/05/2025 05:00,,2.3,12.3,1.015
02/05/2025 06:00,5.2,2.3,11.4,1.015
02/05/2025 07:00,11.4,3.4,11.1,1.015
02/05/2025 08:00,13.5,4.7,11.3,1.016
02/05/2025 09:00,14.7,6.3,13.1,1.016
02/05/2025 10:00,10.8,7.3,15.3,1.016
02/05/2025 11:00,9.3,8.6,20.8,1.016
02/05/2025 12:00,2.8,10.3,21.5,1.015
02/05/2025 13:00,21.5,7.9,22.2,1.014
02/05/2025 14:00,33.2,6.3,22.5,1.013
02/05/2025 15:00,17.6,4.9,21.8,1.013
02/05/2025 16:00,15.3,6.0,20.8,1.013
02/05/2025 17:00,11.2,6.1,20.0,1.012
02/05/2025 18:00,21.0,4.7,18.6,1.013
02/05/2025 19:00,22.0,8.9,17.0,1.013
02/05/2025 20:00,29.0,12.3,15.9,1.013
02/05/2025 21:00,32.7,10.5,16.6,1.013
02/05/2025 22:00,19.9,9.5,16.9,1.013
02/05/2025 23:00,12.7,4.5,17.0,1.013
03/05/2025 00:00,8.9,4.3,16.6,1.013
03/05/2025 01:00,2.5,5.1,16.4,1.013
03/05/2025 02:00,3.9,2.9,15.8,1.013
03/05/2025 03:00,10.2,2.2,15.6,1.013
03/05/2025 04:00,9.6,2.0,15.1,1.013
03/05/2025 05:00,6.6,3.8,14.9,1.013
03/05/2025 06:00,6.6,1.9,14.7,1.013
03/05/2025 07:00,4.8,3.9,14.3,1.013
03/05/2025 08:00,3.6,3.9,14.7,1.014
03/05/2025 09:00,3.7,6.7,16.0,1.014
03/05/2025 10:00,3.2,9.0,17.8,1.014
03/05/2025 11:00,5.3,7.4,21.4,1.013
03/05/2025 12:00,7.6,5.4,22.5,1.013
03/05/2025 13:00,20.4,3.6,23.4,1.012
03/05/2025 14:00,30.8,4.5,24.1,1.011
03/05/2025 15:00,28.9,3.9,24.0,1.010
03/05/2025 16:00,25.9,4.5,22.5,1.009
03/05/2025 17:00,47.2,-0.1,21.3,1.009
03/05/2025 18:00,22.1,,19.5,1.009
03/05/2025 19:00,16.3,4.9,18.4,1.009
03/05/2025 20:00,30.0,13.7,18.9,1.009
03/05/2025 21:00,25.7,9.0,20.1,1.009
03/05/2025 22:00,36.1,5.6,19.6,1.009
03/05/2025 23:00,10.0,4.0,19.0,1.009
04/05/2025 00:00,7.1,2.5,18.5,1.009
04/05/2025 01:00,18.8,-1.3,18.3,1.009
04/05/2025 02:00,23.2,2.7,18.0,1.009
04/05/2025 03:00,18.6,2.3,17.5,1.009
04/05/2025 04:00,20.0,4.1,17.1,1.009
04/05/2025 05:00,16.4,1.8,16.8,1.009
04/05/2025 06:00,9.4,3.9,17.0,1.009
04/05/2025 07:00,8.0,3.3,17.0,1.010
04/05/2025 08:00,11.8,2.7,17.2,1.010
04/05/2025 09:00,12.0,5.0,19.2,1.010
04/05/2025 10:00,14.5,5.2,21.1,1.010
04/05/2025 11:00,13.9,3.2,23.6,1.009
04/05/2025 12:00,31.9,7.1,25.2,1.009
04/05/2025 13:00,44.1,8.4,25.8,1.008
04/05/2025 14:00,59.0,6.3,25.9,1.007
04/05/2025 15:00,70.8,8.4,25.6,1.006
04/05/2025 16:00,48.6,6.8,25.1,1.006
04/05/2025 17:00,35.5,12.9,24.4,1.006
04/05/2025 18:00,32.9,10.0,22.5,1.006
04/05/2025 19:00,31.9,8.2,21.1,1.006
04/05/2025 20:00,30.7,8.2,20.1,1.006
04/05/2025 21:00,32.7,8.5,20.3,1.006
04/05/2025 22:00,31.0,4.7,20.1,1.006
04/05/2025 23:00,22.6,2.7,20.3,1.006
05/05/2025 00:00,14.4,1.9,20.2,1.006
05/05/2025 01:00,6.6,-1.1,19.9,1.005
05/05/2025 02:00,12.5,-0.6,20.0,1.005
05/05/2025 03:00,12.9,-0.5,19.9,1.005
05/05/2025 04:00,11.5,1.7,19.5,1.005
05/05/2025 05:00,12.0,3.4,19.1,1.005
05/05/2025 06:00,15.8,5.7,18.9,1.005
05/05/2025 07:00,11.6,4.4,18.8,1.005
05/05/2025 08:00,11.4,4.4,18.7,1.006
05/05/2025 09:00,17.8,5.3,19.9,1.006
05/05/2025 10:00,19.4,3.7,21.6,1.006
05/05/2025 11:00,23.9,6.5,25.2,1.006
05/05/2025 12:00,36.4,8.7,25.8,1.005
05/05/2025 13:00,42.5,7.6,26.1,1.004
05/05/2025 14:00,35.4,5.7,26.0,1.003
05/05/2025 15:00,30.6,4.0,26.2,1.003
05/05/2025 16:00,31.7,6.7,26.4,1.003
05/05/2025 17:00,27.8,3.0,25.4,1.002
05/05/2025 18:00,30.8,5.8,24.0,1.002
05/05/2025 19:00,24.5,5.0,22.8,1.002
05/05/2025 20:00,27.6,2.4,20.8,1.004
05/05/2025 21:00,36.9,11.6,18.6,1.004
05/05/2025 22:00,31.2,14.1,17.7,1.004
05/05/2025 23:00,27.9,12.0,17.1,1.004
06/05/2025 00:00,26.4,8.7,16.5,1.004
06/05/2025 01:00,20.1,9.3,16.1,1.004
06/05/2025 02:00,25.9,10.6,15.7,1.003
06/05/2025 03:00,38.1,9.9,15.2,1.003
06/05/2025 04:00,36.4,6.3,14.9,1.003
06/05/2025 05:00,34.5,8.6,14.5,1.003
06/05/2025 06:00,35.7,10.1,14.8,1.004
06/05/2025 07:00,30.8,5.7,14.6,1.004
06/05/2025 08:00,31.9,5.0,14.7,1.004
06/05/2025 09:00,36.4,8.2,15.2,1.004
06/05/2025 10:00,37.0,11.2,16.9,1.004
06/05/2025 11:00,32.6,13.0,19.8,1.004
06/05/2025 12:00,15.9,11.4,21.5,1.004
06/05/2025 13:00,8.7,11.2,22.3,1.003
06/05/2025 14:00,14.6,6.0,22.4,1.002
06/05/2025 15:00,15.2,1.5,22.4,1.002
06/05/2025 16:00,15.1,2.7,21.0,1.003
06/05/2025 17:00,17.5,9.9,20.4,1.003
06/05/2025 18:00,23.1,9.4,19.8,1.002
