"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/06/2025 01:00,6.8,7.9,12.6,1.007
01/06/2025 02:00,2.3,6.7,12.4,1.007
01/06/2025 03:00,6.8,3.5,12.5,1.007
01/06/2025 04:00,7.8,4.9,12.6,1.007
01/06/2025 05:00,11.1,4.3,11.6,1.007
01/06/2025 06:00,7.5,4.1,11.0,1.007
01/06/2025 07:00,6.7,6.2,11.7,1.007
01/06/2025 08:00,10.1,5.8,11.8,1.007
01/06/2025 09:00,10.4,4.7,12.5,1.007
01/06/2025 10:00,12.1,5.3,14.2,1.007
01/06/2025 11:00,8.2,6.4,16.2,1.007
01/06/2025 12:00,6.8,6.7,17.6,1.006
01/06/2025 13:00,12.6,5.2,18.0,1.005
01/06/2025 14:00,10.9,5.5,20.2,1.004
01/06/2025 15:00,8.0,5.4,20.4,1.004
01/06/2025 16:00,6.2,5.6,19.1,1.004
01/06/2025 17:00,8.4,9.8,18.2,1.003
01/06/2025 18:00,14.2,11.6,16.5,1.003
01/06/2025 19:00,17.1,9.6,15.8,1.004
01/06/2025 20:00,25.1,12.1,15.3,1.003
01/06/2025 21:00,25.6,13.0,14.8,1.003
01/06/2025 22:00,18.7,10.7,14.7,1.003
01/06/2025 23:00,12.9,6.4,14.5,1.003
02/06/2025 00:00,14.5,6.5,14.4,1.003
02/06/2025 01:00,13.5,7.6,14.1,1.002
02/06/2025 02:00,17.9,8.6,13.8,1.002
02/06/2025 03:00,22.8,7.3,13.7,1.002
02/06/2025 04:00,15.7,7.0,13.7,1.001
02/06/2025 05:00,10.8,3.3,13.9,1.001
02/06/2025 06:00,12.5,5.7,13.9,1.001
02/06/2025 07:00,10.0,3.6,13.7,1.001
02/06/2025 08:00,14.1,4.8,13.7,1.002
02/06/2025 09:00,14.7,2.8,14.2,1.001
02/06/2025 10:00,15.7,7.1,15.0,1.001
02/06/2025 11:00,17.3,6.4,16.9,1.001
02/06/2025 12:00,16.5,7.8,18.3,1.001
02/06/2025 13:00,15.9,6.8,19.7,1.000
02/06/2025 14:00,18.7,6.0,20.1,0.999
02/06/2025 15:00,12.2,6.3,20.6,0.999
02/06/2025 16:00,7.9,3.2,20.6,0.999
02/06/2025 17:00,9.4,5.4,18.8,0.999
02/06/2025 18:00,15.1,6.4,17.2,0.999
02/06/2025 19:00,25.0,9.5,15.4,0.999
02/06/2025 20:00,27.3,10.0,13.9,1.000
02/06/2025 21:00,23.1,8.9,13.2,1.000
02/06/2025 22:00,26.2,10.5,12.7,1.000
02/06/2025 23:00,25.8,9.6,11.9,1.000
03/06/2025 00:00,23.5,11.4,11.8,1.000
03/06/2025 01:00,19.1,8.8,12.3,1.000
03/06/2025 02:00,17.9,5.7,12.9,1.000
03/06/2025 03:00,17.0,7.2,12.8,1.000
03/06/2025 04:00,19.6,6.2,13.0,1.000
03/06/2025 05:00,16.6,6.2,12.8,1.000
03/06/2025 06:00,14.3,7.1,12.2,1.001
03/06/2025 07:00,14.2,8.2,12.3,1.001
03/06/2025 08:00,16.7,9.8,12.8,1.002
03/06/2025 09:00,14.2,,13.9,1.003
03/06/2025 10:00,,,15.1,1.004
03/06/2025 11:00,0.9,6.4,16.2,1.004
03/06/2025 12:00,0.6,0.6,17.3,1.004
03/06/2025 13:00,2.4,2.5,18.0,1.004
03/06/2025 14:00,6.1,1.2,18.0,1.004
03/06/2025 15:00,25.3,0.5,16.0,1.004
03/06/2025 16:00,13.0,2.6,15.7,1.005
03/06/2025 17:00,10.8,6.7,13.6,1.005
03/06/2025 18:00,8.4,5.3,12.6,1.006
03/06/2025 19:00,10.1,2.8,11.8,1.006
03/06/2025 20:00,16.0,3.4,11.6,1.007
03/06/2025 21:00,12.0,4.7,11.6,1.008
03/06/2025 22:00,36.2,3.1,10.9,1.008
03/06/2025 23:00,15.5,3.2,10.9,1.009
04/06/2025 00:00,4.7,4.1,10.8,1.009
04/06/2025 01:00,-1.2,1.7,10.1,1.009
04/06/2025 02:00,-1.0,0.8,9.3,1.009
04/06/2025 03:00,2.8,3.0,8.7,1.009
04/06/2025 04:00,5.7,1.3,8.6,1.009
04/06/2025 05:00,5.4,-0.4,8.7,1.010
04/06/2025 06:00,7.3,0.1,8.1,1.010
04/06/2025 07:00,6.7,1.0,8.4,1.010
04/06/2025 08:00,10.7,2.1,8.7,1.011
04/06/2025 09:00,13.6,2.7,9.4,1.011
04/06/2025 10:00,12.4,5.0,11.6,1.012
04/06/2025 11:00,33.0,5.3,13.4,1.012
04/06/2025 12:00,19.0,5.1,14.0,1.011
04/06/2025 13:00,-2.0,3.7,14.9,1.010
04/06/2025 14:00,-1.6,2.1,15.3,1.010
04/06/2025 15:00,1.0,1.0,16.5,1.009
04/06/2025 16:00,7.9,3.1,16.0,1.009
04/06/2025 17:00,10.7,0.7,13.4,1.010
04/06/2025 18:00,10.7,2.2,12.2,1.010
04/06/2025 19:00,15.7,2.5,11.2,1.010
04/06/2025 20:00,36.1,7.1,10.1,1.010
04/06/2025 21:00,49.9,13.2,9.4,1.010
04/06/2025 22:00,26.8,14.4,9.0,1.010
04/06/2025 23:00,16.1,10.2,8.9,1.009
05/06/2025 00:00,9.1,4.5,8.9,1.008
05/06/2025 01:00,5.9,6.4,9.8,1.007
05/06/2025 02:00,-0.3,5.2,10.3,1.008
05/06/2025 03:00,9.8,5.3,9.4,1.008
05/06/2025 04:00,17.2,4.7,9.1,1.008
05/06/2025 05:00,8.1,3.8,9.9,1.007
05/06/2025 06:00,3.7,3.9,10.6,1.007
05/06/2025 07:00,1.3,0.2,10.8,1.007
05/06/2025 08:00,5.6,1.7,10.8,1.007
05/06/2025 09:00,11.3,4.0,11.7,1.007
05/06/2025 10:00,8.9,2.1,13.5,1.006
05/06/2025 11:00,6.3,1.6,15.6,1.006
05/06/2025 12:00,6.2,3.3,16.3,1.006
05/06/2025 13:00,11.5,4.9,15.9,1.005
05/06/2025 14:00,52.8,3.2,15.6,1.004
05/06/2025 15:00,24.8,1.7,14.8,1.004
05/06/2025 16:00,14.6,2.3,14.7,1.003
05/06/2025 17:00,15.2,1.1,14.1,1.003
05/06/2025 18:00,21.3,1.8,13.6,1.002
05/06/2025 19:00,22.8,2.6,13.1,1.002
05/06/2025 20:00,23.6,4.1,10.9,1.002
05/06/2025 21:00,20.0,5.2,10.6,1.001
05/06/2025 22:00,10.6,1.8,11.1,1.000
05/06/2025 23:00,8.0,0.2,11.9,1.000
06/06/2025 00:00,6.3,2.8,12.3,1.000
06/06/2025 01:00,3.4,1.1,11.2,0.999
06/06/2025 02:00,-2.8,1.1,10.9,0.998
06/06/2025 03:00,31.4,2.5,10.0,0.998
06/06/2025 04:00,17.1,1.2,9.9,0.997
06/06/2025 05:00,3.1,-3.0,10.5,0.996
06/06/2025 06:00,10.1,2.3,10.6,0.997
06/06/2025 07:00,11.3,1.7,9.3,0.997
06/06/2025 08:00,10.3,3.9,8.8,0.996
06/06/2025 09:00,6.2,,9.0,0.996
06/06/2025 10:00,3.0,-1.5,10.0,0.996
06/06/2025 11:00,6.4,3.5,11.2,0.995
06/06/2025 12:00,12.2,4.9,12.8,0.995
06/06/2025 13:00,13.3,7.3,13.8,0.994
06/06/2025 14:00,15.1,8.9,15.0,0.994
06/06/2025 15:00,13.5,10.3,16.8,0.994
06/06/2025 16:00,25.3,11.1,16.6,0.994
06/06/2025 17:00,39.9,10.3,15.2,0.995
06/06/2025 18:00,42.4,10.4,14.6,0.995
06/06/2025 19:00,42.6,11.9,11.5,0.995
06/06/2025 20:00,33.4,10.2,10.6,0.996
06/06/2025 21:00,18.1,6.6,11.3,0.996
06/06/2025 22:00,18.2,6.8,11.7,0.996
06/06/2025 23:00,19.5,7.6,11.7,0.996
07/06/2025 00:00,21.4,8.0,11.1,0.997
07/06/2025 01:00,22.9,4.9,11.7,0.997
07/06/2025 02:00,23.9,6.2,11.7,0.997
07/06/2025 03:00,22.5,5.4,10.8,0.997
07/06/2025 04:00,19.9,5.0,9.7,0.997
07/06/2025 05:00,14.8,3.7,10.2,0.997
07/06/2025 06:00,15.3,4.3,10.9,0.997
07/06/2025 07:00,16.3,6.1,11.5,0.997
07/06/2025 08:00,16.2,6.0,11.5,0.997
07/06/2025 09:00,18.0,1.7,12.2,0.997
07/06/2025 10:00,18.9,4.7,12.7,0.996
07/06/2025 11:00,22.6,10.9,12.8,0.996
07/06/2025 12:00,22.3,8.9,13.5,0.994
07/06/2025 13:00,25.5,6.3,12.3,0.994
07/06/2025 14:00,23.9,11.7,13.8,0.993
07/06/2025 15:00,28.3,22.0,13.1,0.993
07/06/2025 16:00,26.0,10.6,14.1,0.994
07/06/2025 17:00,22.8,1.1,12.9,0.995
07/06/2025 18:00,23.4,1.1,12.3,0.995
07/06/2025 19:00,19.3,4.0,11.5,0.996
07/06/2025 20:00,21.5,8.8,10.9,0.996
07/06/2025 21:00,24.5,7.6,9.1,0.997
07/06/2025 22:00,17.3,4.4,10.7,0.997
07/06/2025 23:00,15.4,4.0,10.1,0.997
08/06/2025 00:00,13.1,4.1,9.5,0.997
08/06/2025 01:00,13.1,1.6,10.0,0.997
08/06/2025 02:00,12.5,4.1,9.8,0.997
08/06/2025 03:00,11.8,2.3,9.8,0.997
08/06/2025 04:00,13.4,3.1,8.4,0.996
08/06/2025 05:00,13.3,3.0,7.9,0.996
08/06/2025 06:00,12.3,1.1,7.4,0.997
08/06/2025 07:00,10.4,0.5,6.8,0.997
08/06/2025 08:00,6.6,2.5,6.9,0.998
08/06/2025 09:00,7.4,2.5,7.1,0.998
08/06/2025 10:00,7.7,4.3,8.6,0.998
08/06/2025 11:00,8.2,4.2,10.4,0.999
08/06/2025 12:00,5.6,2.9,11.8,0.998
08/06/2025 13:00,5.5,1.4,10.2,0.998
08/06/2025 14:00,6.2,2.2,11.4,0.997
08/06/2025 15:00,8.0,2.6,11.8,0.998
08/06/2025 16:00,6.9,3.1,11.1,0.998
08/06/2025 17:00,7.9,2.8,9.6,0.999
08/06/2025 18:00,8.6,1.5,8.5,0.999
08/06/2025 19:00,13.6,4.5,7.8,1.000
08/06/2025 20:00,16.1,6.6,7.9,1.000
08/06/2025 21:00,43.9,8.4,7.4,1.001
08/06/2025 22:00,24.1,6.7,7.3,1.001
08/06/2025 23:00,,,6.6,1.001
09/06/2025 00:00,22.6,23.0,6.0,1.001
09/06/2025 01:00,30.0,18.4,5.7,1.001
09/06/2025 02:00,37.7,14.8,6.0,1.001
09/06/2025 03:00,23.9,8.4,6.3,1.000
09/06/2025 04:00,11.0,6.1,6.0,1.000
09/06/2025 05:00,12.6,8.7,5.8,1.000
09/06/2025 06:00,10.0,5.8,5.9,1.000
09/06/2025 07:00,5.8,4.2,5.7,1.001
09/06/2025 08:00,7.4,5.7,6.0,1.001
09/06/2025 09:00,7.3,9.3,7.0,1.002
09/06/2025 10:00,6.0,9.6,8.5,1.002
09/06/2025 11:00,8.0,9.3,11.8,1.002
09/06/2025 12:00,4.8,9.3,11.7,1.001
09/06/2025 13:00,,1.9,12.0,1.001
09/06/2025 14:00,,3.0,14.1,1.000
09/06/2025 15:00,,5.3,14.6,1.000
09/06/2025 16:00,-0.3,0.3,14.0,1.000
09/06/2025 17:00,1.8,-1.0,12.7,1.001
09/06/2025 18:00,2.4,-1.3,10.9,1.001
09/06/2025 19:00,5.8,1.6,10.2,1.001
09/06/2025 20:00,10.6,6.9,10.0,1.001
09/06/2025 21:00,40.6,8.8,9.3,1.001
09/06/2025 22:00,16.7,10.7,8.8,1.002
09/06/2025 23:00,16.9,12.2,8.7,1.002
10/06/2025 00:00,18.9,14.7,8.2,1.002
10/06/2025 01:00,15.3,6.5,8.6,1.001
10/06/2025 02:00,8.4,3.8,8.9,1.001
10/06/2025 03:00,11.7,7.5,8.8,1.001
10/06/2025 04:00,17.2,8.4,9.0,1.000
10/06/2025 05:00,8.3,3.8,9.1,1.000
10/06/2025 06:00,8.6,4.0,9.3,1.001
10/06/2025 07:00,6.0,4.3,9.3,1.001
10/06/2025 08:00,10.4,6.0,9.3,1.001
10/06/2025 09:00,13.9,7.3,9.8,1.002
10/06/2025 10:00,10.7,9.2,11.5,1.002
10/06/2025 11:00,0.7,8.0,14.0,1.002
10/06/2025 12:00,4.2,6.9,14.3,1.002
10/06/2025 13:00,37.3,6.3,14.7,1.001
10/06/2025 14:00,7.1,5.2,15.2,1.001
10/06/2025 15:00,,0.9,16.3,1.000
10/06/2025 16:00,-0.2,3.3,15.3,1.000
10/06/2025 17:00,5.2,,14.2,1.000
10/06/2025 18:00,15.4,,13.3,1.001
10/06/2025 19:00,21.7,7.3,11.8,1.001
10/06/2025 20:00,31.9,13.0,11.0,1.001
10/06/2025 21:00,32.0,12.1,11.0,1.001
10/06/2025 22:00,28.3,8.2,11.1,1.001
10/06/2025 23:00,29.1,10.6,11.1,1.001
11/06/2025 00:00,33.9,13.4,10.4,1.001
11/06/2025 01:00,23.4,13.3,10.8,1.001
11/06/2025 02:00,17.7,13.2,10.8,1.001
11/06/2025 03:00,20.3,11.2,10.2,1.001
11/06/2025 04:00,19.2,7.3,10.3,1.001
11/06/2025 05:00,10.0,6.6,9.9,1.001
11/06/2025 06:00,5.3,5.6,9.6,1.001
11/06/2025 07:00,2.5,3.6,9.6,1.001
11/06/2025 08:00,5.9,5.2,9.6,1.001
11/06/2025 09:00,11.9,3.6,10.1,1.002
11/06/2025 10:00,12.3,1.8,11.2,1.002
11/06/2025 11:00,9.9,3.4,12.7,1.001
11/06/2025 12:00,1.5,2.9,14.2,1.001
11/06/2025 13:00,4.4,1.1,14.3,1.000
11/06/2025 14:00,3.4,2.8,13.5,1.000
11/06/2025 15:00,19.7,2.4,13.9,1.000
