"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/03/2025 01:00,10.2,-0.7,19.1,1.001
01/03/2025 02:00,8.9,-2.5,18.6,1.001
01/03/2025 03:00,8.8,-1.5,18.2,1.000
01/03/2025 04:00,7.8,2.0,17.9,1.000
01/03/2025 05:00,11.9,3.1,17.6,1.000
01/03/2025 06:00,14.9,4.9,17.3,1.001
01/03/2025 07:00,15.2,6.0,17.7,1.001
01/03/2025 08:00,20.1,6.4,19.2,1.001
01/03/2025 09:00,18.2,6.3,20.7,1.001
01/03/2025 10:00,15.5,6.5,22.0,1.001
01/03/2025 11:00,18.6,9.6,23.0,1.002
01/03/2025 12:00,10.2,7.5,26.0,1.001
01/03/2025 13:00,13.0,6.4,26.5,1.000
01/03/2025 14:00,19.2,10.1,24.9,1.000
01/03/2025 15:00,15.9,7.0,23.7,1.000
01/03/2025 16:00,12.5,5.7,24.0,1.000
01/03/2025 17:00,12.1,3.2,22.9,1.000
01/03/2025 18:00,17.9,6.7,22.1,1.001
01/03/2025 19:00,19.1,10.7,21.6,1.000
01/03/2025 20:00,27.5,7.7,20.6,1.001
01/03/2025 21:00,50.6,1.5,19.2,1.002
01/03/2025 22:00,23.5,1.1,18.4,1.002
01/03/2025 23:00,9.6,3.9,18.1,1.002
02/03/2025 00:00,8.5,3.5,17.8,1.002
02/03/2025 01:00,7.3,1.5,17.5,1.002
02/03/2025 02:00,9.6,1.0,17.2,1.002
02/03/2025 03:00,35.0,2.8,16.7,1.002
02/03/2025 04:00,12.5,5.0,16.9,1.002
02/03/2025 05:00,4.6,5.6,16.9,1.002
02/03/2025 06:00,7.8,2.6,16.9,1.003
02/03/2025 07:00,9.8,3.3,17.2,1.003
02/03/2025 08:00,7.5,3.9,18.1,1.004
02/03/2025 09:00,8.4,1.2,19.3,1.005
02/03/2025 10:00,6.4,0.9,22.6,1.005
02/03/2025 11:00,6.8,0.6,23.8,1.005
02/03/2025 12:00,6.4,3.0,23.5,1.004
02/03/2025 13:00,13.0,1.7,24.2,1.004
02/03/2025 14:00,12.4,3.3,24.9,1.003
02/03/2025 15:00,12.9,1.8,25.0,1.003
02/03/2025 16:00,16.6,4.0,24.4,1.003
02/03/2025 17:00,20.2,-1.7,23.5,1.002
02/03/2025 18:00,21.0,-0.6,21.8,1.003
02/03/2025 19:00,20.1,3.5,19.9,1.004
02/03/2025 20:00,20.2,5.4,18.5,1.004
02/03/2025 21:00,20.7,4.7,17.6,1.005
02/03/2025 22:00,22.6,3.2,17.0,1.005
02/03/2025 23:00,21.9,7.3,16.6,1.005
03/03/2025 00:00,21.3,9.5,16.4,1.005
03/03/2025 01:00,18.1,6.8,16.6,1.004
03/03/2025 02:00,20.3,5.0,16.6,1.004
03/03/2025 03:00,21.1,5.4,16.6,1.003
03/03/2025 04:00,21.5,6.1,16.3,1.003
03/03/2025 05:00,24.4,4.8,16.0,1.003
03/03/2025 06:00,25.8,8.6,15.8,1.004
03/03/2025 07:00,28.9,8.0,16.1,1.005
