"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/08/2025 01:00,15.6,8.2,8.7,1.011
01/08/2025 02:00,6.3,4.6,9.0,1.010
01/08/2025 03:00,33.9,4.3,9.7,1.010
01/08/2025 04:00,3.8,3.4,9.5,1.010
01/08/2025 05:00,,1.2,9.3,1.010
01/08/2025 06:00,,1.8,8.4,1.011
01/08/2025 07:00,6.1,1.1,7.7,1.011
01/08/2025 08:00,35.4,5.1,7.9,1.012
01/08/2025 09:00,15.6,-1.9,9.4,1.012
01/08/2025 10:00,6.3,2.1,11.8,1.012
01/08/2025 11:00,,4.6,15.2,1.012
01/08/2025 12:00,-3.2,1.8,14.9,1.012
01/08/2025 13:00,0.7,0.6,15.0,1.011
01/08/2025 14:00,2.8,2.2,14.7,1.011
01/08/2025 15:00,11.0,0.3,14.7,1.010
01/08/2025 16:00,22.1,2.5,14.9,1.010
01/08/2025 17:00,36.3,6.6,14.0,1.011
01/08/2025 18:00,9.0,5.4,12.6,1.011
01/08/2025 19:00,1.3,3.6,12.0,1.012
01/08/2025 20:00,4.8,4.3,11.5,1.012
01/08/2025 21:00,4.7,3.0,10.6,1.012
01/08/2025 22:00,6.9,2.0,10.1,1.012
01/08/2025 23:00,10.8,4.7,9.6,1.012
02/08/2025 00:00,20.3,8.1,8.6,1.012
02/08/2025 01:00,27.6,12.2,8.5,1.012
02/08/2025 02:00,31.4,14.0,8.5,1.012
02/08/2025 03:00,30.7,12.6,8.3,1.011
02/08/2025 04:00,25.1,9.9,7.7,1.011
02/08/2025 05:00,18.7,10.6,8.3,1.011
02/08/2025 06:00,14.8,8.2,8.7,1.011
02/08/2025 07:00,15.8,9.2,8.9,1.011
02/08/2025 08:00,15.6,7.2,9.5,1.012
02/08/2025 09:00,14.4,2.5,10.7,1.012
02/08/2025 10:00,16.8,3.6,12.0,1.012
02/08/2025 11:00,17.8,8.5,12.6,1.013
02/08/2025 12:00,9.7,7.0,13.9,1.012
02/08/2025 13:00,1.8,3.0,13.9,1.011
02/08/2025 14:00,-1.5,4.1,13.9,1.011
02/08/2025 15:00,0.8,3.1,14.9,1.010
02/08/2025 16:00,3.0,2.7,14.7,1.010
02/08/2025 17:00,4.0,1.7,13.5,1.010
02/08/2025 18:00,6.0,2.4,11.6,1.010
02/08/2025 19:00,11.6,5.3,10.9,1.010
02/08/2025 20:00,20.1,10.7,9.5,1.010
02/08/2025 21:00,26.2,16.2,8.7,1.010
02/08/2025 22:00,25.0,11.0,8.6,1.009
02/08/2025 23:00,24.1,13.8,8.6,1.009
03/08/2025 00:00,24.7,9.2,8.6,1.008
03/08/2025 01:00,16.1,7.2,9.1,1.008
03/08/2025 02:00,7.7,4.5,9.3,1.008
03/08/2025 03:00,5.6,5.2,9.0,1.008
03/08/2025 04:00,10.0,3.3,8.8,1.007
03/08/2025 05:00,8.7,3.2,9.1,1.007
03/08/2025 06:00,4.9,2.3,9.1,1.007
03/08/2025 07:00,-0.6,2.3,9.0,1.008
03/08/2025 08:00,4.0,2.5,9.1,1.008
03/08/2025 09:00,4.1,-0.8,9.9,1.008
03/08/2025 10:00,3.4,0.7,11.8,1.008
03/08/2025 11:00,0.2,1.7,16.6,1.008
03/08/2025 12:00,2.1,4.6,17.6,1.007
