"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
01/02/2025 01:00,10.2,5.3,19.8,1.000
01/02/2025 02:00,13.8,4.1,20.6,0.999
01/02/2025 03:00,50.9,7.3,21.6,0.999
01/02/2025 04:00,69.6,44.8,21.1,0.999
01/02/2025 05:00,68.3,54.3,20.0,0.999
01/02/2025 06:00,50.9,40.0,20.1,0.999
01/02/2025 07:00,45.4,29.4,20.0,0.999
01/02/2025 08:00,54.5,28.8,23.3,1.000
01/02/2025 09:00,50.7,27.9,27.1,0.999
01/02/2025 10:00,42.2,22.3,29.1,0.999
01/02/2025 11:00,34.4,21.6,33.5,0.998
01/02/2025 12:00,20.4,19.3,36.4,0.998
01/02/2025 13:00,24.9,15.0,35.5,0.997
01/02/2025 14:00,33.6,15.9,32.9,0.996
01/02/2025 15:00,21.6,8.9,32.6,0.996
01/02/2025 16:00,15.6,7.0,32.8,0.995
01/02/2025 17:00,17.1,0.4,32.9,0.995
01/02/2025 18:00,18.3,0.9,32.9,0.995
01/02/2025 19:00,25.9,12.1,31.4,0.995
01/02/2025 20:00,29.0,15.7,30.4,0.995
01/02/2025 21:00,25.3,13.0,28.9,0.995
01/02/2025 22:00,22.5,10.1,27.9,0.995
01/02/2025 23:00,15.6,8.6,27.4,0.995
02/02/2025 00:00,21.5,6.5,27.8,0.995
02/02/2025 01:00,16.6,12.3,27.4,0.995
02/02/2025 02:00,20.3,18.0,27.1,0.994
02/02/2025 03:00,22.5,13.8,27.7,0.994
02/02/2025 04:00,36.1,23.2,27.6,0.994
02/02/2025 05:00,47.7,33.1,25.6,0.994
02/02/2025 06:00,49.3,31.4,24.2,0.995
02/02/2025 07:00,46.7,30.5,25.2,0.995
02/02/2025 08:00,43.2,30.4,28.4,0.995
02/02/2025 09:00,52.0,30.5,29.3,0.996
02/02/2025 10:00,52.7,32.7,32.3,0.995
02/02/2025 11:00,51.8,35.8,37.3,0.995
02/02/2025 12:00,61.1,46.4,40.0,0.995
02/02/2025 13:00,70.9,49.2,38.5,0.995
02/02/2025 14:00,66.4,40.5,38.2,0.994
02/02/2025 15:00,44.8,27.1,37.3,0.993
02/02/2025 16:00,37.4,18.7,37.7,0.992
02/02/2025 17:00,36.6,6.1,38.1,0.992
02/02/2025 18:00,35.4,13.5,36.3,0.992
02/02/2025 19:00,32.7,15.9,33.6,0.992
02/02/2025 20:00,33.4,19.9,31.5,0.993
02/02/2025 21:00,32.0,18.0,30.5,0.994
02/02/2025 22:00,31.5,20.2,29.9,0.994
02/02/2025 23:00,54.7,24.1,29.1,0.995
03/02/2025 00:00,76.6,28.2,29.0,0.994
03/02/2025 01:00,56.3,18.8,28.3,0.993
03/02/2025 02:00,47.5,21.5,27.1,0.993
03/02/2025 03:00,53.8,25.7,26.2,0.993
03/02/2025 04:00,50.9,20.4,27.0,0.993
03/02/2025 05:00,43.7,14.3,28.1,0.993
03/02/2025 06:00,34.7,12.1,28.3,0.993
03/02/2025 07:00,26.0,7.4,28.8,0.993
03/02/2025 08:00,29.0,7.6,31.5,0.993
03/02/2025 09:00,23.6,14.1,34.4,0.994
03/02/2025 10:00,21.8,14.4,36.9,0.993
03/02/2025 11:00,20.6,9.6,40.4,0.993
03/02/2025 12:00,30.8,12.4,41.8,0.992
03/02/2025 13:00,32.1,8.6,41.2,0.992
03/02/2025 14:00,28.6,7.8,39.2,0.992
03/02/2025 15:00,26.9,8.3,38.7,0.991
03/02/2025 16:00,27.5,5.7,38.8,0.990
03/02/2025 17:00,31.2,3.7,38.4,0.990
03/02/2025 18:00,35.6,4.5,37.7,0.990
03/02/2025 19:00,38.6,7.5,36.1,0.990
03/02/2025 20:00,35.8,7.0,34.0,0.991
03/02/2025 21:00,27.3,2.4,32.7,0.991
03/02/2025 22:00,20.7,2.2,31.9,0.992
03/02/2025 23:00,18.2,1.7,31.2,0.992
04/02/2025 00:00,17.0,2.7,30.2,0.992
